i,j,k,x_um,y_um,z_um,pressure,temperature,liquid_fraction,fill_level,ux,uy,uz,vmag
20,0,40,75.00,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
21,0,40,78.75,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
22,0,40,82.50,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
23,0,40,86.25,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
24,0,40,90.00,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
25,0,40,93.75,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
26,0,40,97.50,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
27,0,40,101.25,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
28,0,40,105.00,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
29,0,40,108.75,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
30,0,40,112.50,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
31,0,40,116.25,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
32,0,40,120.00,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
33,0,40,123.75,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
34,0,40,127.50,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
35,0,40,131.25,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
36,0,40,135.00,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
37,0,40,138.75,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
38,0,40,142.50,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
39,0,40,146.25,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
0,1,40,0.00,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,1,40,3.75,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2,1,40,7.50,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3,1,40,11.25,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4,1,40,15.00,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5,1,40,18.75,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6,1,40,22.50,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7,1,40,26.25,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8,1,40,30.00,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9,1,40,33.75,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
10,1,40,37.50,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
11,1,40,41.25,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
12,1,40,45.00,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
13,1,40,48.75,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
14,1,40,52.50,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
15,1,40,56.25,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
16,1,40,60.00,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
17,1,40,63.75,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
18,1,40,67.50,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
19,1,40,71.25,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
20,1,40,75.00,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
21,1,40,78.75,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
22,1,40,82.50,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
23,1,40,86.25,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
24,1,40,90.00,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
25,1,40,93.75,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
26,1,40,97.50,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
27,1,40,101.25,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
28,1,40,105.00,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
29,1,40,108.75,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
30,1,40,112.50,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
31,1,40,116.25,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
32,1,40,120.00,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
33,1,40,123.75,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
34,1,40,127.50,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
35,1,40,131.25,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
36,1,40,135.00,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
37,1,40,138.75,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
38,1,40,142.50,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
39,1,40,146.25,3.75,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
0,2,40,0.00,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,2,40,3.75,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2,2,40,7.50,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3,2,40,11.25,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4,2,40,15.00,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5,2,40,18.75,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6,2,40,22.50,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7,2,40,26.25,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8,2,40,30.00,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9,2,40,33.75,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
10,2,40,37.50,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
11,2,40,41.25,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
12,2,40,45.00,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
13,2,40,48.75,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
14,2,40,52.50,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
15,2,40,56.25,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
16,2,40,60.00,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
17,2,40,63.75,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
18,2,40,67.50,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
19,2,40,71.25,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
20,2,40,75.00,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
21,2,40,78.75,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
22,2,40,82.50,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
23,2,40,86.25,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
24,2,40,90.00,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
25,2,40,93.75,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
26,2,40,97.50,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
27,2,40,101.25,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
28,2,40,105.00,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
29,2,40,108.75,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
30,2,40,112.50,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
31,2,40,116.25,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
32,2,40,120.00,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
33,2,40,123.75,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
34,2,40,127.50,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
35,2,40,131.25,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
36,2,40,135.00,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
37,2,40,138.75,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
38,2,40,142.50,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
39,2,40,146.25,7.50,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
0,3,40,0.00,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,3,40,3.75,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2,3,40,7.50,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3,3,40,11.25,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4,3,40,15.00,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5,3,40,18.75,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6,3,40,22.50,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7,3,40,26.25,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8,3,40,30.00,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9,3,40,33.75,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
10,3,40,37.50,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
11,3,40,41.25,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
12,3,40,45.00,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
13,3,40,48.75,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
14,3,40,52.50,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
15,3,40,56.25,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
16,3,40,60.00,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
17,3,40,63.75,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
18,3,40,67.50,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
19,3,40,71.25,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
20,3,40,75.00,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
21,3,40,78.75,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
22,3,40,82.50,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
23,3,40,86.25,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
24,3,40,90.00,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
25,3,40,93.75,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
26,3,40,97.50,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
27,3,40,101.25,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
28,3,40,105.00,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
29,3,40,108.75,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
30,3,40,112.50,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
31,3,40,116.25,11.25,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
