fl,K_numerical,K_analytical,relative_error
3.9626892656e-02,8.6828665600e+08,8.6828665600e+08,0.0000000000e+00
4.1026573628e-02,8.6022694400e+08,8.6022688000e+08,7.4398975869e-08
4.2475715280e-02,8.5159180800e+08,8.5159180800e+08,0.0000000000e+00
4.3976027519e-02,8.4234476800e+08,8.4234470400e+08,7.5978398684e-08
4.5529350638e-02,8.3244864000e+08,8.3244864000e+08,0.0000000000e+00
4.7137539834e-02,8.2186681600e+08,8.2186681600e+08,0.0000000000e+00
4.8802517354e-02,8.1056313600e+08,8.1056313600e+08,0.0000000000e+00
5.0526320934e-02,7.9850214400e+08,7.9850214400e+08,0.0000000000e+00
5.2310984582e-02,7.8565164800e+08,7.8565164800e+08,0.0000000000e+00
5.4158713669e-02,7.7198150400e+08,7.7198150400e+08,0.0000000000e+00
5.6071706116e-02,7.5746585600e+08,7.5746585600e+08,0.0000000000e+00
5.8052238077e-02,7.4208435200e+08,7.4208435200e+08,0.0000000000e+00
6.0102760792e-02,7.2582233600e+08,7.2582227200e+08,8.8175852397e-08
6.2225710601e-02,7.0867270400e+08,7.0867270400e+08,0.0000000000e+00
6.4423628151e-02,6.9063763200e+08,6.9063769600e+08,9.2667981733e-08
6.6699199378e-02,6.7172819200e+08,6.7172819200e+08,0.0000000000e+00
6.9055132568e-02,6.5196742400e+08,6.5196736000e+08,9.8164420592e-08
7.1494296193e-02,6.3138899200e+08,6.3138899200e+08,0.0000000000e+00
7.4019618332e-02,6.1004012800e+08,6.1004012800e+08,0.0000000000e+00
7.6634101570e-02,5.8798054400e+08,5.8798054400e+08,0.0000000000e+00
7.9340972006e-02,5.6528236800e+08,5.6528236800e+08,0.0000000000e+00
8.2143411040e-02,5.4203123200e+08,5.4203116800e+08,1.1807438938e-07
8.5044875741e-02,5.1832320000e+08,5.1832320000e+08,0.0000000000e+00
8.8048830628e-02,4.9426566400e+08,4.9426566400e+08,0.0000000000e+00
9.1158866882e-02,4.6997472000e+08,4.6997472000e+08,0.0000000000e+00
9.4378784299e-02,4.4557248000e+08,4.4557244800e+08,7.1817723324e-08
9.7712434828e-02,4.2118566400e+08,4.2118566400e+08,0.0000000000e+00
1.0116380453e-01,3.9694281600e+08,3.9694281600e+08,0.0000000000e+00
1.0473711044e-01,3.7297052800e+08,3.7297049600e+08,8.5797672966e-08
1.0843657702e-01,3.4939235200e+08,3.4939235200e+08,0.0000000000e+00
1.1226677150e-01,3.2632432000e+08,3.2632432000e+08,0.0000000000e+00
1.1623226106e-01,3.0387433600e+08,3.0387436800e+08,1.0530667538e-07
1.2033775449e-01,2.8213980800e+08,2.8213980800e+08,0.0000000000e+00
1.2458832562e-01,2.6120451200e+08,2.6120451200e+08,0.0000000000e+00
1.2898902595e-01,2.4113987200e+08,2.4113985600e+08,6.6351539374e-08
1.3354511559e-01,2.2200304000e+08,2.2200305600e+08,7.2071081547e-08
1.3826227188e-01,2.0383604800e+08,2.0383603200e+08,7.8494466038e-08
1.4314588904e-01,1.8666865600e+08,1.8666867200e+08,8.5713367071e-08
1.4820209146e-01,1.7051571200e+08,1.7051571200e+08,0.0000000000e+00
1.5343688428e-01,1.5538060800e+08,1.5538062400e+08,1.0297294040e-07
1.5885649621e-01,1.4125572800e+08,1.4125572800e+08,0.0000000000e+00
1.6446763277e-01,1.2812295200e+08,1.2812295200e+08,0.0000000000e+00
1.7027686536e-01,1.1595679200e+08,1.1595677600e+08,1.3798245391e-07
1.7629137635e-01,1.0472397600e+08,1.0472396800e+08,7.6391302173e-08
1.8251834810e-01,9.4386312000e+07,9.4386304000e+07,8.4758056573e-08
1.8896526098e-01,8.4901368000e+07,8.4901376000e+07,9.4226976444e-08
1.9563978910e-01,7.6223816000e+07,7.6223816000e+07,0.0000000000e+00
2.0255029202e-01,6.8306032000e+07,6.8306032000e+07,0.0000000000e+00
2.0970465243e-01,6.1100364000e+07,6.1100364000e+07,0.0000000000e+00
2.1711184084e-01,5.4558244000e+07,5.4558244000e+07,0.0000000000e+00
2.2478054464e-01,4.8632292000e+07,4.8632292000e+07,0.0000000000e+00
2.3272024095e-01,4.3275920000e+07,4.3275920000e+07,0.0000000000e+00
2.4094039202e-01,3.8444400000e+07,3.8444400000e+07,0.0000000000e+00
2.4945075810e-01,3.4094896000e+07,3.4094896000e+07,0.0000000000e+00
2.5826185942e-01,3.0186534000e+07,3.0186534000e+07,0.0000000000e+00
2.6738417149e-01,2.6680958000e+07,2.6680956000e+07,7.4959835672e-08
2.7682873607e-01,2.3542096000e+07,2.3542094000e+07,8.4954209001e-08
2.8660669923e-01,2.0736386000e+07,2.0736388000e+07,9.6448815157e-08
2.9673025012e-01,1.8232492000e+07,1.8232492000e+07,0.0000000000e+00
3.0721133947e-01,1.6001610000e+07,1.6001611000e+07,6.2493704434e-08
3.1806266308e-01,1.4017128000e+07,1.4017129000e+07,7.1341283103e-08
3.2929709554e-01,1.2254666000e+07,1.2254666000e+07,0.0000000000e+00
3.4092852473e-01,1.0691813000e+07,1.0691814000e+07,9.3529500589e-08
3.5297062993e-01,9.3082320000e+06,9.3082330000e+06,1.0743177370e-07
3.6543825269e-01,8.0853110000e+06,8.0853105000e+06,6.1840545129e-08
3.7834626436e-01,7.0062070000e+06,7.0062075000e+06,7.1365285237e-08
3.9170998335e-01,6.0556540000e+06,6.0556535000e+06,8.2567474635e-08
4.0554618835e-01,5.2197820000e+06,5.2197820000e+06,0.0000000000e+00
4.1987067461e-01,4.4861630000e+06,4.4861625000e+06,1.1145382928e-07
4.3470135331e-01,3.8435087500e+06,3.8435085000e+06,6.5044737596e-08
4.5005586743e-01,3.2817062500e+06,3.2817065000e+06,7.6179880182e-08
4.6595248580e-01,2.7916627500e+06,2.7916627500e+06,0.0000000000e+00
4.8241087794e-01,2.3651987500e+06,2.3651987500e+06,0.0000000000e+00
4.9945059419e-01,1.9950070000e+06,1.9950071250e+06,6.2656418720e-08
5.1709187031e-01,1.6745422500e+06,1.6745422500e+06,0.0000000000e+00
5.3535664082e-01,1.3979402500e+06,1.3979402500e+06,0.0000000000e+00
5.5426651239e-01,1.1599828750e+06,1.1599828750e+06,0.0000000000e+00
5.7384395599e-01,9.5601275000e+05,9.5601268750e+05,6.5375701297e-08
5.9411364794e-01,7.8186956250e+05,7.8186950000e+05,7.9936611996e-08
6.1509859562e-01,6.3387356250e+05,6.3387350000e+05,9.8600118292e-08
6.3682508469e-01,5.0873640625e+05,5.0873646875e+05,1.2285339324e-07
6.5931904316e-01,4.0354893750e+05,4.0354896875e+05,7.7437938728e-08
6.8260711432e-01,3.1573203125e+05,3.1573203125e+05,0.0000000000e+00
7.0671820641e-01,2.4299798438e+05,2.4299800000e+05,6.4300941460e-08
7.3168045282e-01,1.8332976562e+05,1.8332978125e+05,8.5228926139e-08
7.5752490759e-01,1.3494153125e+05,1.3494153125e+05,0.0000000000e+00
7.8428220749e-01,9.6262140625e+04,9.6262148438e+04,8.1158589182e-08
8.1198459864e-01,6.5907226562e+04,6.5907226562e+04,0.0000000000e+00
8.4066510201e-01,4.2660148438e+04,4.2660152344e+04,9.1566711546e-08
8.7035953999e-01,2.5452289062e+04,2.5452289062e+04,0.0000000000e+00
9.0110188723e-01,1.3349381836e+04,1.3349380859e+04,7.3154140523e-08
9.3293064833e-01,5.5330629883e+03,5.5330629883e+03,0.0000000000e+00
9.6588307619e-01,1.2902812500e+03,1.2902812500e+03,0.0000000000e+00
1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
